state,year,first_name,last_name,party,sex,died,status,win_margin,region,outcome,election_age,death_age,lived_after
Alabama,1910,Emmet,O'neal,Democrat,Male,1922-09-07,Challenger,60.35251382811855,South,Win,57.11430527036276,68.95277207392198,11.838466803559205
Alabama,1914,Charles,Henderson,Democrat,Male,1937-01-07,Challenger,67.78051450465244,South,Win,54.5242984257358,76.69815195071868,22.17385352498289
Alabama,1918,Thomas,Kilby,Democrat,Male,1943-10-22,Challenger,60.44429465293143,South,Win,53.322381930184804,78.28336755646818,24.960985626283367
Alabama,1922,William,Brandon,Democrat,Male,1934-12-07,Challenger,56.93465948335406,South,Win,54.41478439425051,66.50239561943874,12.087611225188228
Alabama,1922,Oliver,Street,Republican,Male,1944-08-03,Challenger,-56.93465948335406,South,Lose,55.912388774811774,77.65639972621491,21.744010951403148
Alabama,1926,John,Bingham,Republican,Male,1900-03-19,Challenger,-62.43817206637865,South,Lose,111.78644763860369,85.15537303216975,-26.63107460643395
Alabama,1926,Bibb,Graves,Democrat,Male,1942-03-14,Challenger,62.43817206637865,South,Win,53.59342915811088,68.94729637234771,15.353867214236825
Alabama,1930,Hugh,Locke,Third party,Male,1971-07-01,Challenger,-23.641931740695988,South,Lose,45.34428473648186,85.99589322381931,40.65160848733744
Alabama,1930,B.,Miller,Democrat,Male,1944-02-06,Challenger,23.641931740695988,South,Win,66.64476386036961,79.89869952087611,13.253935660506503
Alabama,1934,Bibb,Graves,Democrat,Male,1942-03-14,Challenger,74.55713144900966,South,Win,61.59342915811088,68.94729637234771,7.353867214236824
Alabama,1938,Frank,Dixon,Democrat,Male,1965-10-11,Challenger,75.03213027503514,South,Win,46.27789185489391,73.21013004791239,26.93223819301848
Alabama,1942,Chauncey,Sparks,Democrat,Male,1968-11-06,Challenger,78.84607912970279,South,Win,58.072553045859,84.0766598220397,26.0041067761807
Alabama,1946,James,Folsom,Democrat,Male,1987-11-21,Challenger,77.33439421044898,South,Win,38.072553045859,79.11567419575633,41.04312114989733
Alabama,1946,Lyman,Ward,Republican,Male,1948-12-17,Challenger,-77.33439421044898,South,Lose,78.54893908281998,80.66529774127311,2.116358658453114
Alabama,1950,Gordon,Persons,Democrat,Male,1965-05-29,Challenger,82.20656423844166,South,Win,48.747433264887064,63.31006160164271,14.562628336755647
Alabama,1954,Tom,Abernethy,Republican,Male,1968-03-07,Challenger,-46.74816640597558,South,Lose,46.54620123203286,59.88227241615332,13.336071184120465
Alabama,1954,James,Folsom,Democrat,Male,1987-11-21,Challenger,46.74816640597558,South,Win,46.072553045859,79.11567419575633,33.04312114989733
Alabama,1958,William,Longshore,Republican,Male,2013-05-24,Challenger,-77.47437492593909,South,Lose,33.270362765229294,87.81930184804928,54.548939082819984
Alabama,1962,George,Wallace,Democrat,Male,1998-09-13,Challenger,100,South,Win,43.19780971937029,79.05270362765229,35.854893908282
Alabama,1966,James,Martin,Republican,Male,2017-10-30,Challenger,-34.301041416806584,South,Lose,48.17796030116359,99.16221765913758,50.98425735797399
Alabama,1966,Lurleen,Wallace,Democrat,Female,1968-05-07,Challenger,34.301041416806584,South,Win,40.12867898699521,41.63175906913073,1.5030800821355237
Alabama,1970,George,Wallace,Democrat,Male,1998-09-13,Challenger,100,South,Win,51.19780971937029,79.05270362765229,27.854893908281998
Alabama,1974,Elvin,Mccary,Republican,Male,1981-09-28,Challenger,-69.83351963888012,South,Lose,67.68788501026694,74.5845311430527,6.896646132785763
Alabama,1974,George,Wallace,Democrat,Male,1998-09-13,Incumbent,69.83351963888012,South,Win,55.19780971937029,79.05270362765229,23.854893908281998
Alabama,1978,Guy,Hunt,Republican,Male,2009-01-30,Challenger,-47.39580342632493,South,Lose,45.385352498288846,75.62217659137578,30.236824093086927
Alabama,1982,Emory,Folmar,Republican,Male,2011-11-11,Challenger,-19.216788701730785,South,Lose,52.42436687200548,81.44010951403149,29.01574264202601
Alabama,1982,George,Wallace,Democrat,Male,1998-09-13,Challenger,19.216788701730785,South,Win,63.19780971937029,79.05270362765229,15.854893908282
Alabama,1986,Guy,Hunt,Republican,Male,2009-01-30,Challenger,12.894793597358778,South,Win,53.385352498288846,75.62217659137578,22.236824093086927
Alabama,1990,Paul,Hubbert,Democrat,Male,2014-10-14,Challenger,-4.2293470437018,South,Lose,54.86379192334018,78.80355920602327,23.939767282683093
